Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Latitude,Venue Longitude,Venue Id,Venue Category,Name,Likes,Rating,Tips
Lídice,-18.9245676,-48.2751334,-18.92030061,-48.27559467,4cea7d8f948f224b57bdfb5d,Italian Restaurant,Talhareto Cozinha Italiana,10,7.8,4
Lídice,-18.9245676,-48.2751334,-18.9228422,-48.27921123,51b35470498e23845ff0663c,Middle Eastern Restaurant,Kebabji Express,29,7.5,9
Lídice,-18.9245676,-48.2751334,-18.92067138,-48.27457475,4e0f5b85483bc2b5f48b092b,Restaurant,Macadamia Restaurante,8,7.4,9
Lídice,-18.9245676,-48.2751334,-18.92048381,-48.27548508,4dfcde15b0fb84d7ace1a9bc,Seafood Restaurant,Kabana do Peixe,10,7.3,7
Lídice,-18.9245676,-48.2751334,-18.92253156,-48.27893373,59e80c7b872f7d28f03e6f18,Fast Food Restaurant,Burger King,6,7.3,0
Lídice,-18.9245676,-48.2751334,-18.92140219,-48.27817878,4c2620fbf1272d7f93ec85c5,Fast Food Restaurant,McDonald's,222,7.3,33
Lídice,-18.9245676,-48.2751334,-18.92833215,-48.27645003,4c8c2faad5049c7465e5466a,Brazilian Restaurant,Liro Chef,60,7,30
Lídice,-18.9245676,-48.2751334,-18.92185445,-48.27824388,563242d1498ea8b150d8dff6,Restaurant,Batata Baroa,7,7,0
Cazeca,-18.9146829,-48.2656998,-18.91609784,-48.2641481,4c55a6f84623be9ae033d5f4,Restaurant,Cantina Bom-peixe,14,8,6
Cazeca,-18.9146829,-48.2656998,-18.91541578,-48.26231514,50f0bcb4e4b0e0c9cecd4e61,Restaurant,Purê Point,217,8.8,68
Cazeca,-18.9146829,-48.2656998,-18.917171,-48.265285,5bac19198c812a002cbb6a03,Fast Food Restaurant,Burger King,3,6.7,0
Cazeca,-18.9146829,-48.2656998,-18.91782041,-48.26501422,4b93ff54f964a520006034e3,Restaurant,Santa Chiara,20,6.8,15
Cazeca,-18.9146829,-48.2656998,-18.91679717,-48.26425289,4fe8da11e4b009caac238856,Moroccan Restaurant,Ali Restaurante Árabe,5,6.5,8
Centro,-18.9164008,-48.2748108,-18.916298,-48.277357,53c53894498e3bae2dcfdbe1,Restaurant,Rôti Steak House,7,7.6,3
Centro,-18.9164008,-48.2748108,-18.91625783,-48.2736589,51ad26092fc6a768ab5e0673,Fast Food Restaurant,Espetinhos Kiko's,6,7.4,7
Centro,-18.9164008,-48.2748108,-18.91652547,-48.27195187,4ba39d93f964a5204d4c38e3,Chinese Restaurant,Grand China,88,7.6,32
Centro,-18.9164008,-48.2748108,-18.9189063,-48.27468752,4e10a99fe4cdef074b6c96e2,South American Restaurant,Restaurante Âncora,15,7.4,3
Centro,-18.9164008,-48.2748108,-18.91852134,-48.27657672,4d9f26c136818cfa69020401,Brazilian Restaurant,Restaurante Chico Mineiro,9,7.3,1
Fundinho,-18.9234405,-48.2829261,-18.92373789,-48.28470578,4d594d5656f2b60ca99d772f,Brazilian Restaurant,Casarão Grill Restaurante,151,8.5,51
Fundinho,-18.9234405,-48.2829261,-18.92451878,-48.28131001,541cb7b0498e537b4054187e,Mineiro Restaurant,Alfaiataria,55,8.5,12
Fundinho,-18.9234405,-48.2829261,-18.92363378,-48.28218513,54ab1318498eeb0561e0ea02,Japanese Restaurant,koichi Culinária Japonesa,41,8.2,17
Fundinho,-18.9234405,-48.2829261,-18.92364041,-48.28260341,557e1bbe498ec3aba20471b5,Italian Restaurant,Bella Sicilia Ristorante,40,8.1,15
Fundinho,-18.9234405,-48.2829261,-18.92209989,-48.28128635,4c57746830d82d7f3304da62,French Restaurant,Crepe Mania,36,8.1,19
Fundinho,-18.9234405,-48.2829261,-18.92429675,-48.28113417,4c36c4ad0a71c9b6dac13dc9,Restaurant,Caldo e Cia,162,7.9,39
Fundinho,-18.9234405,-48.2829261,-18.9208471,-48.28123553,4bb3ad0b2397b713d07638b3,Middle Eastern Restaurant,Restaurante Sahtten,157,8.5,68
Fundinho,-18.9234405,-48.2829261,-18.92514042,-48.28387943,4fce394de4b0589b09a7359b,Restaurant,Bistro do Fundinho,51,7.7,17
Fundinho,-18.9234405,-48.2829261,-18.91976569,-48.2816619,4bf2f45398ac0f47b15562a8,Fast Food Restaurant,Xmais - Restaurante Fast Food de comida saudável,41,8.9,21
Fundinho,-18.9234405,-48.2829261,-18.92200823,-48.27971449,4ebe8dbeb803bca7ddab4fed,Brazilian Restaurant,D'Paula Restaurante,8,7.4,4
Fundinho,-18.9234405,-48.2829261,-18.9236978,-48.28713933,529a767111d27ec811eafb7a,Sushi Restaurant,Mitsui Sushi Fast,10,7.4,5
Fundinho,-18.9234405,-48.2829261,-18.92703596,-48.28072889,4e3ece2a1838cb1b83030130,Restaurant,Lazinho Bar e Restaurante,90,7.4,26
Fundinho,-18.9234405,-48.2829261,-18.9229648,-48.28762135,55a125af498ecaa5f03c3e40,Mexican Restaurant,Burritos Hermanos,35,7.2,15
Fundinho,-18.9234405,-48.2829261,-18.92082284,-48.28475741,4f450c38e4b0ea314ba3995c,Brazilian Restaurant,Melazzo's restaurante,8,6.6,4
Fundinho,-18.9234405,-48.2829261,-18.92274393,-48.27908635,54694f28498e0cb221fc752f,Restaurant,Yakisoba Factory,6,6.1,6
Fundinho,-18.9234405,-48.2829261,-18.92273904,-48.27905697,4c3249b96f1fef3bb33aec3d,Fast Food Restaurant,Toca do Açaí,10,5.7,11
Tabajaras,-18.9269329,-48.2892553,-18.9249154,-48.29098737,4bb3afdd2397b713bc7a38b3,Brazilian Restaurant,Liro Chef Restaurante,236,8.7,95
Tabajaras,-18.9269329,-48.2892553,-18.92409883,-48.28858018,4bd4bc686798ef3b454c628d,Fast Food Restaurant,Serginho Lanches,78,8.2,30
Tabajaras,-18.9269329,-48.2892553,-18.92925589,-48.28983373,4c955aa1bc279c74ba3f6153,Japanese Restaurant,Ceragui Culinária Japonesa,48,7.6,16
Tabajaras,-18.9269329,-48.2892553,-18.92282949,-48.28970427,4e7a8aef8231499f09b2dde0,Restaurant,Spettos,146,8,37
Tabajaras,-18.9269329,-48.2892553,-18.92306363,-48.28757286,4e62452ce4cdf1e2bf37280a,Brazilian Restaurant,Escalope Restaurante,3,5.5,1
Martins,-18.9095759,-48.2817182,-18.90683618,-48.27867931,4cc0b395668db60c032b0fb4,Fast Food Restaurant,Silvanio Lanches,51,8.2,33
Martins,-18.9095759,-48.2817182,-18.91185091,-48.28355927,4d9c839ea1ec8cfa3c92ec49,Brazilian Restaurant,Restaurante Café cum Prosa,12,7.2,9
Martins,-18.9095759,-48.2817182,-18.9113023,-48.27768167,536838ae498ef38a84785c03,Sushi Restaurant,Kaizen Sushi Express,16,7.4,8
Martins,-18.9095759,-48.2817182,-18.913516,-48.283718,529c94d111d266030a256819,Restaurant,Vila F5,5,6.9,11
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90667204,-48.26723934,4e0c9d977d8bfe35bbc3546a,Brazilian Restaurant,Barril Restaurante,8,7.8,4
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90614973,-48.26491364,4d7f81bcebc15481f8d3f4a6,Brazilian Restaurant,Recanto Sabor & Cia.,15,7.8,6
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.9071545,-48.26755557,51423f39e4b064090b4ccff9,Brazilian Restaurant,Pastelaria Brotinho,7,7.5,4
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90506977,-48.26631263,4e8f2ddff5b9f8967c2e2384,Chinese Restaurant,Restaurante Grande Muralha,23,7.4,11
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90267819,-48.2644045,4e721e9cae6067986ec4e6e2,Restaurant,Sabor & Cia - Self-Service,16,7.3,14
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90526151,-48.27169151,518bd580498e33a20db647b9,Brazilian Restaurant,Pinguim Restaurante,5,6.3,1
Nossa Senhora Aparecida,-18.90551835,-48.26726848,-18.90365909,-48.26293923,4dac5b164b22f071eae0cfe1,Brazilian Restaurant,Uai Sô,4,6.3,3
Brasil,-18.9188041,-48.2767837,-18.91690025,-48.27601425,4d652f0f4fa4cbff7443d5d9,Brazilian Restaurant,Frigideira,22,7.2,7
Brasil,-18.9188041,-48.2767837,-18.91786574,-48.27461158,4db6ec8f6a23c31a0348ce95,Brazilian Restaurant,Families Restaurante,10,7.2,2
Brasil,-18.9188041,-48.2767837,-18.91737212,-48.27548449,4d95cb31942ba093a28f428c,Brazilian Restaurant,Sabor Total Self Service,26,7.1,4
Brasil,-18.9188041,-48.2767837,-18.9176063,-48.27335273,55a40321498e60f3d82c927d,Vegetarian / Vegan Restaurant,Integral e Natural Restaurante Vegetariano,9,7.2,2
Brasil,-18.9188041,-48.2767837,-18.91505127,-48.27700458,4be9b994b3352d7ff25454d2,Fast Food Restaurant,Universo da Empada,8,7.1,9
Brasil,-18.9188041,-48.2767837,-18.92209329,-48.27972023,4bb4b888a705952157921bce,Brazilian Restaurant,D' Paula Restaurante,13,7.2,3
Brasil,-18.9188041,-48.2767837,-18.91819185,-48.27926984,4d248a66e704b60c32bb61a9,Chinese Restaurant,China in Box,7,6.6,2
Brasil,-18.9188041,-48.2767837,-18.91748009,-48.27725828,4ce9b121f8653704f09eb8c4,Dumpling Restaurant,Pastelaria Afonso Pena,55,6.4,35
Brasil,-18.9188041,-48.2767837,-18.92182588,-48.27927138,4ba64771f964a520c64139e3,Brazilian Restaurant,Nani Restaurante,37,6.7,17
Brasil,-18.9188041,-48.2767837,-18.9185991,-48.27440287,50465b02e4b04db600730089,Fast Food Restaurant,Mix Potato,10,6.2,5
Brasil,-18.9188041,-48.2767837,-18.91925448,-48.27906381,4d19f1438312236a82f86fba,Restaurant,Self Service Almoço & Cia,4,5.7,5
